,Precipitacion
1981-01-01,0.8881958723068237
1981-01-02,3.0923476219177246
1981-01-03,1.013457179069519
1981-01-04,0.9644241333007812
1981-01-05,7.2428202629089355
1981-01-06,5.545073509216309
1981-01-07,0.043072011321783066
1981-01-08,0.09610895067453384
1981-01-09,15.368721008300781
1981-01-10,0.0
1981-01-11,2.676880121231079
1981-01-12,2.893242120742798
1981-01-13,1.5499229431152344
1981-01-14,0.0
1981-01-15,0.0
1981-01-16,1.7083756923675537
1981-01-17,2.9288992881774902
1981-01-18,0.0
1981-01-19,0.01617235317826271
1981-01-20,5.453283786773682
1981-01-21,2.4645469188690186
1981-01-22,2.02666974067688
1981-01-23,5.884085655212402
1981-01-24,1.8326297998428345
1981-01-25,0.15318754315376282
1981-01-26,5.01481294631958
1981-01-27,7.157234191894531
1981-01-28,0.0
1981-01-29,0.46806925535202026
1981-01-30,0.2196161299943924
1981-01-31,26.579179763793945
1981-02-01,5.065003871917725
1981-02-02,0.0
1981-02-03,3.2978641986846924
1981-02-04,10.678383827209473
1981-02-05,3.9012277126312256
1981-02-06,4.828032970428467
1981-02-07,12.807462692260742
1981-02-08,12.478666305541992
1981-02-09,18.34619903564453
1981-02-10,4.293817520141602
1981-02-11,4.728447914123535
1981-02-12,3.1951496601104736
1981-02-13,12.02587604522705
1981-02-14,0.25179222226142883
1981-02-15,14.943781852722168
1981-02-16,7.35582971572876
1981-02-17,0.09368433058261871
1981-02-18,19.54183578491211
1981-02-19,0.19221103191375732
1981-02-20,12.217571258544922
1981-02-21,10.585708618164062
1981-02-22,6.040395736694336
1981-02-23,12.45046615600586
1981-02-24,4.868167400360107
1981-02-25,7.192189693450928
1981-02-26,0.07560979574918747
1981-02-27,0.0
1981-02-28,12.445839881896973
1981-03-01,4.590770244598389
1981-03-02,4.5162739753723145
1981-03-03,0.2507742643356323
1981-03-04,0.15059508383274078
1981-03-05,3.772174596786499
1981-03-06,0.0
1981-03-07,0.1826871931552887
1981-03-08,0.1139732152223587
1981-03-09,14.058167457580566
1981-03-10,0.265928715467453
1981-03-11,1.5848348140716553
1981-03-12,0.0
1981-03-13,3.1627085208892822
1981-03-14,0.3892267048358917
1981-03-15,1.4931544065475464
1981-03-16,0.0
1981-03-17,0.3303191363811493
1981-03-18,7.379174709320068
1981-03-19,1.1209205389022827
1981-03-20,0.014346863143146038
1981-03-21,3.575052499771118
1981-03-22,0.015046053566038609
1981-03-23,2.2681570053100586
1981-03-24,0.6027871966362
1981-03-25,0.0
1981-03-26,0.0
1981-03-27,0.0
1981-03-28,0.0035896135959774256
1981-03-29,0.0
1981-03-30,3.271674871444702
1981-03-31,0.004204874392598867
1981-04-01,0.0
1981-04-02,0.10731737315654755
1981-04-03,0.0
1981-04-04,0.04254975542426109
1981-04-05,2.6399424076080322
1981-04-06,0.1504770815372467
1981-04-07,6.967817783355713
1981-04-08,0.0
1981-04-09,0.46356382966041565
1981-04-10,0.0
1981-04-11,0.44861286878585815
1981-04-12,0.0
1981-04-13,0.03424513712525368
1981-04-14,0.028790034353733063
1981-04-15,0.31155624985694885
1981-04-16,0.6444223523139954
